id,ano,instituicao,genero,avaliacao,texto
9,3,publica,menina,regular,a coisa a casa do avô de Pedro era uma dessas casas antigas que tem dois andares e mais um velho por um dia Pedro resolvi resolveu ir lá embaixo procurar uns patins pegou uma lanterna e foi descendo as escadas com cuidado no que foi voltou aos ver fantasma uma coisa horrível um monte com uma luz saindo da barriga ninguém acreditou hoje é que já se viu um monstro com saindo da barriga então vovó foi ver o que havia e voltou correndo com o Pedro a coisa ele gritava a coisa muito alta com os olhos brilhantes como se fossem de vidro e a cabeça uns dos espetáculos para todos os lados Dona Julinha avó do Pedro era a única que não estava impressionada Então ela foi ver o que estava acontecendo foi descendo as escadas devagar abrindo a janelas que encontrava a família veio atrás toda assustada morrendo de medo do monstro fantasma fosse lá o que fosse até chegaram lá embaixo e Dona Julinha abriu a última janela então todos começaram a rir muito envergonhar a coisa era um espelho cada um que descia as escadas no es escuro vi uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
3,2,publica,menina,bom,a coisa a casa do avô de Pedro era uma dessas casas antigas grandes que tem dois andares e mais um velho porão um dia Pedro resolveu e lá em baixo procurar um patins pegou a lanterna e foi descendo as escadas com cuidado no que foi vou vou Voltou ao aos abelhas Albert fantasma uma coisa horrível monstro com uma luz saindo da barriga ninguém acreditou o que é onde é que já se viu monstro com luz saindo da barriga então o vovô foi ver o quê que havia e voltou correndo com Pedro a coisa a coisa ela gritava a coisa é muito alta com os olhos brilhantes com como se fosse de vidro e a cabeça no futuro esperados para todos os lados Dona Júlia Julinha avó do Pedro era avó do Pedro era nunca que não estava impressionada Então ela foi ver o que estava acontecendo foi foi descendo as escadas devagar abrindo as janelas que encontrava a família veio atrás toda assustada correndo de correndo de medo do monstro fantasma fantasma fosse lá o que fosse até até que chegaram lá embaixo das Dona Joaninha abriu a última janela então todos começaram a rir muito envergonhada a coisa era um espelho cada um que descia as escadas no escuro vi uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
11,2,publica,menino,regular,a coisa a casa do avô de Pedro era uma dessas casas antigas grandes que tem dois andares e mais um velho porão um dia Pedro resolveu ensinar embaixo procurou Um patins pegou um uma lanterna e foi descendo a escada cuidado no que foi ou as berços fantástico fantástico uma coisa horrível um monstro com uma saiu da barriga ninguém acreditou onde é que já vi já se viu monstro com os sair da barriga então o vovô foi ver o que havia e foutou correndo com o peito a coisa a coisa e ele gritava a coisa é muito alto com os olhos brilhantes se fossem de vidro e na cabeça uns tufos para todos os lados Dona Júlia avó do Pedro era a única que não estava impressionada Então ela foi ver o que estava acontecendo foi descendo as escadas devagar abrindo as janelas que encontrava a família veio atrás todas as ondas morrer de medo do monstro Fantasma o quê até que chegaram na embaixo e dona Júlia abriu a última janela então todos começaram a rir muito envergonhados as coisas era um espelho cada um que descia a escada no escuro via uma coisa diferente no espelho e todo e todos eles estavam que tinha visto a coisa
12,3,publica,menino,regular,a coisa a casa da vovó de Pedro era uma dessas casas antigas grandes que tem dois andares e mais velho mais mais um velho portão um dia Pedro resolveu ir lá embaixo procurar uns patins pegou a lanterna e foi e foi descendo as escadas com cuidado no que foi voltou aos berros fantasma uma coisa horrível um monstro com a luz saindo da barriga ninguém acreditou onde é que já se viu um monstro com luz saindo da barriga então a vovó foi ver que havia e voltou correndo com Pedro a coisa ela gritava É a coisa e muito alta com os olhos brilhantes como se fosse de vidro e na cabeça espetados para todos os lados Dona Julinha avó do Pedro era a única que não estava impressionada abrindo a janela se encontrava encontrava a família veio atrás toda Assunta morrendo de medo do monstro fantasma fosse lá que fosse até chegaram embaixo a dona Júlia abriu a última janela então todos começaram a rir muito envergonhada a coisa era um espelho cada cada um que descia as escadas no escuro vi uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
5,2,publica,menina,regular,a casa do vovô de Pedro era muito uma de cada antigas grandes que tem dois andares e mais velho foram um dia Pedro resolveu ir lá embaixo procurar um patins pegou uma pena e foi dizendo a escada com cuidado no que foi voltou aos Fantasmas um uma coisa horrível um monstro com uma luz da barriga ninguém acreditou onde é que já se viu um com um luz saindo da barriga então o vovô foi ver o que que vai e voltou correndo como o Pedro coisa a coisa ela ele tava a coisa e muito alto com os olhos brilhando ando com de vidro e na cabeça para todos os lados Dona Julinha vovó de Pedro era a única que não estava impressionada Então ela foi ver o que estava acontecendo foi dizendo descendo as escadas devagar abrindo a janela que encontrava a família veio atrás toda a juntada correndo de medo o monstro fantasma fosse lá o que fosse até que chegaram lá embaixo e Dona Julinha abriu última janela então todas começaram a e muito envergonhado a coisa era um espelho cada um que ia escada no escuro via 1 uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
7,3,particular,menina,bom,a coisa a casa da vó de Pedro era uma dessas casas antigas grandes que tem dois andares e mais um velho porão um dia Pedro resolveu ir lá embaixo procurar um patins pegou uma lanterna e foi descendo as escadas com cuidado no que foi voltou aos berros fantasma uma coisa horrível um monstro com uma luz saindo da barriga ninguém acreditou onde é que já se viu um monstro com luz saindo da barriga então o vovô foi ver o que havia e voltou correndo com Pedro a coisa ele gritava a coisa é muito alta com os olhos brilhantes como se fosse fosse de vidro e na cabeça uns tufos espetados para todos os lados Dona Julinha avó do Pedro era um era a única que não estava funcionando nada então ela foi ver o que estava acontecendo foi descendo as escadas devagar abrindo as janelas que encontrava a família veio que encontrava a família veio atrás toda assustada morrendo de medo do monstro fantasma fosse lá o que fosse até que chegaram lá embaixo e Dona Julinha abriu a última janela então todos começaram a rir muito envergonhado a coisa era um espelho cada um que desci as escadas no escuro vi uma coisa diferente no espelho e tô todos eles pensavam que tinha visto a coisa
4,2,publica,menino,ruim,ator céu ator céu a casa da vovó de Pedro era uma dessa casa antigas da onde tem dois andares e muitas velho foram um dia o Pedro resolveu ir lá embaixo Por durar uns patins uma lanterna e foi descendo as estradas anti-idade no trem foi foi Voltou às pelos fantasma uma coisa horrível um monstro são uma luz saindo da barriga até ditou onde eteza civil moça tá luz saindo da sala da barriga barriga então o vovô foi ver a Bia e voltou tô rendo como O o Pedrinho a coisa é coisa ele gritava atores é muito alta Alta alta as coisa é muito alta Então os olhos brilhantes vamos se fosse devido e na cabeça um esperando para todos os lados então ele foi ver o que estava acontecendo ele foi descendo a estrada de padar ter medo do monstro fantasma fosse lá o telefone até ter se darão lá embaixo e dona Júlia abriu a última janela todos tome conversaram aí muito envergonhados ator era umas espelho cada um de 10 e as estradas estou estudando viu uma
8,3,particular,menino,regular,a coisa a casa da vó de Pedro era uma dessas casas antigas grande que tem dois andares e mais um velho porão um dia Pedro resolveu ir lá embaixo procurar um uns patins pegou uma lanterna e foi descendo as escadas com cuidado no que foi voltar aos berros fantasma fantasma um coisa horrível um monstro com uma luz saindo da barriga ninguém a acreditou onde é que já se viu um monstro com luz saindo da barriga então vovô foi ver o que havia e voltou correndo com o Pedro a coisa ele gritava a coisa é muito alta com os olhos brilhantes com como se fosse de vidro e na cabeça uns tufos espetados para todos os lados Dona Julinha avó de Pedro era a única que não estava impressionada Então ela foi ver o que estava acontecendo foi descendo as escadas devagar abrindo as janelas que encontrava a família veio atrás atrás toda assustada morrendo de medo do monstro fantasma fosse lá o que fosse até que chegaram lá embaixo e Dona Julinha abriu a última janela então todos começaram a rir muito em vergonhado a coisa era um espelho cada um que descia a escada no escuro via uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
2,2,particular,menino,regular,a coisa a casa do avô de Pedro era uma dessas casas antigas grandes que tem dois andares e mais um velho porão um dia Pedro resolveu e lá embaixo procurar uns patins pegou uma lanterna e foi descendo a escada com cuidado no que foi voltou aos Bezerros fantasma uma coisa horrível um monstro com uma luz saindo da barriga ninguém acreditou onde é um já se viu monstro com luz saindo da barriga então o vovô foi ver a Vi e voltou correndo com o Pedro a coisa ele gritava a coisa é muito alta com os olhos brilhantes como se fossem de vidro e na cabeça uns dados para todos os lados Dona Julinha avó do Pedro era a única que não estava impressionado Então ela foi ver o que estava acontecendo foi descendo a escada devagar obrigando-os a janelas que encontrar a família veio atrás toda assustada morrendo de medo do monstro fantasma foge lá o que foge até que chegaram lá embaixo e a Dona Julinha abriu a última janela então todos começaram a rir muito em vergonhado a coisa era um espelho cada um que descia as escadas no escuro via uma coisa diferente no espelho e todos eles pensavam que tinha visto a coisa
13,3,publica,menino,regular,a coisa a casa do avô de Pedro era uma dessas casas antigas grandes que tem procurar dois andares e mais um velho por um um dia Pedro resolveu ir lá embaixo procurar uns partes pegou uma lanterna e foi descendo as escadas com com cuidado no que foi voltou voltou aos berros Fantasmas uma coisa horrível um monstro com uma luz saindo da barriga ninguém acreditou onde é que já se viu monstro com luz saindo da barriga então o vovô foi ver que havia ele voltou correndo como o Pedro a coisa é ele gritava a coisa é muito alto com os olhos brilhantes como se fossem de vidro e na cabeça um tufos espetados para todos os lados Dona Julinha é avó do Pedro era a única que não estava impressionada então ele foi ver o que estava acontecendo foi descendo as escadas devagar abrindo as janelas que encontrava a família veia atrás toda assustada morrendo de medo do monstro fantasma fosse lá o que fosse até que chegaram lá embaixo é Dona Julinha abriu a última janela então todos começaram a rir muito envergonhados a coisa era um espelho cada um que descia as escadas no escuro via uma coisa diferentes no espelho e todas eles precisavam que tinha visto a coisa
10,3,publica,menina,regular,a coisa a cada van de Pedro era uma dessa casa antigas grande que tem dois andares e mais um velho foram um dia Pedro resolver e lá em março procurar um patins pegou pegou uma lanterna foi descendo as escadas com cuidado no que foi voltou aos delas fantasma uma coisa horrível um monstro com uma luz saindo da barriga ninguém acreditou onde que ele já viu moto com luz saindo da barriga então eu vou foi ver o que havia e voltou correndo com Pedro a coisa ele gritava a coisa é muito alta com olhos brilhantes como fosse vidro e na casa pos espetados para todos os lados Dona Juliana avó de Pedro era a única que não estava impressionada ela foi lá ver o que estava acontecendo foi descendo as escadas devagar abrindo as janelas que encontrava a família atrás de toda assustada morrendo de medo do monstro fantasma fosse lá o quê força Até chegaram lá embaixo a Dona Juliana abriu a última janela então todos começaram a rir muito envergonhada a coisa era um espelho cada vez que desse uma de casas mas umas escadas no escuro vi uma coisa diferente do espelho e todos eles pensavam que tinha visto a coisa
1,2,particular,menina,regular,a coisa a casa do vô de Pedro era uma dessas casas antigas grandes que têm dois andares e mais um velho padam um dia Pedro resolveu ir lá embaixo procurar uns patins Pegou uma lanterna e foi descendo as escadas com cuidado No que foi voltou aos beros Fantasma Uma coisa horrível Um monstro com uma luz saindo da barriga ninguém acreditou onde é que já se viu monstro com luz saindo da barriga Então o vovô foi ver o que havia E voltou correndo como o Pedro A Coisa Ele gi gritava A Coisa É muito alta com os olhos brilhantes como se fossem de vidro E na cabeça uns fru tu tufos espetados para todos os lados Dona Julinha a avó de pe do Pedro era a única que não estava impressionada Então ela foi ver o que estava acontecendo Foi descendo as escadas devagar abrindo as janelas que encontrava A família veeeu atrás toda assustada morrendo de medo do outro fantasma fo sse lá oque fosse até que chegaram lá embaixo e Dona Julinha abriu a ultima janela Então todos começaram a rir muito envergonhados A Coisa era um espelho Cada um que descia as escadas no escuro via uma coisa diferente no espelho E todos eles pensavam que tinham visto a Coisa
6,2,publica,menino,ruim,a co i sa a coisa do avô de Pedro era uma dessa ssas ca casas anti tigas grandes que têm do dois andares e mais um velho parão um dia Pedro re re resolveu ir lá embaixo pro procurar um uns patim tins Pegou uma lanterna e foi des cer endo as as escadas com cuidado No que foi voltou o a aos ber be berras fa Fantasma Uma coisa hor ho ni rível Um mor mo mo mon monstro com uma luz saindo da bai ba ba bari barriga Ninguém acreditou! Onde é que já se viu se viu monstro com luz saindo da da barriga Então o vovô foi ver o que havia E voltou correndo como o Pedro A Coisa el Ele gri gritou A Coisa muito alto com os olhos bri brilhantes como se fossem de vi vidro E na ca cadeça cabeça um uns tufos espetando para todos os lados do dona Julia a a avó do Pedro era era a u única que não estava impressionada. Então ela foi ver o que estava es es estava acontecendo Foi descendo as esco codas a esco de devagar abrindo as janelas que encontrava A família ve veio veio todo assustado morrendo de medo do monstro fantasma fo fo fosse lá oque fosse Ate que chega garam lá embaixo e Dona Juliana abriu a um untima janela Então to todos começaram a rir muito enver vergonhados A co co a Coisa era um espelho ca Cada um que descia as escadas no escuro via um co coisa de vidro no espelho E dos tos todas ele todos eles pensavam que tinham visto a Coisa
